iter	Passed	Remaining
0	95	95212
1	163	81337
2	226	75234
3	296	73785
4	356	70887
5	407	67585
6	474	67375
7	527	65454
8	580	63881
9	631	62537
10	685	61649
11	754	62100
12	803	60995
13	853	60107
14	908	59637
15	972	59837
16	1030	59595
17	1103	60212
18	1164	60110
19	1214	59522
20	1305	60842
21	1360	60479
22	1417	60195
23	1509	61396
24	1573	61377
25	1638	61374
26	1704	61428
27	1755	60956
28	1811	60659
29	1862	60213
30	1916	59904
31	1991	60232
32	2047	59994
33	2100	59690
34	2153	59367
35	2205	59045
36	2272	59143
37	2325	58878
38	2375	58543
39	2425	58200
40	2476	57927
41	2527	57655
42	2576	57351
43	2631	57173
44	2687	57034
45	2739	56815
46	2790	56584
47	2842	56371
48	2896	56206
49	3006	57131
50	3070	57141
51	3124	56958
52	3176	56755
53	3231	56615
54	3282	56399
55	3335	56228
56	3386	56022
57	3435	55791
58	3487	55625
59	3543	55514
60	3596	55367
61	3648	55202
62	3701	55057
63	3772	55177
64	3838	55219
65	3896	55147
66	3990	55563
67	4045	55448
68	4102	55354
69	4157	55234
70	4211	55109
71	4262	54942
72	4318	54839
73	4376	54764
74	4428	54617
75	4478	54449
76	4543	54460
77	4595	54321
78	4646	54175
79	4704	54100
80	4771	54136
81	4825	54025
82	4879	53905
83	4974	54244
84	5045	54313
85	5097	54175
86	5152	54070
87	5206	53957
88	5256	53806
89	5312	53719
90	5378	53729
91	5433	53624
92	5486	53512
93	5548	53482
94	5603	53379
95	5660	53303
96	5710	53157
97	5759	53008
98	5813	52906
99	5866	52800
100	5928	52768
101	5995	52788
102	6051	52705
103	6113	52668
104	6180	52680
105	6240	52633
106	6294	52533
107	6346	52414
108	6395	52278
109	6462	52287
110	6515	52185
111	6579	52164
112	6633	52069
113	6695	52040
114	6749	51942
115	6800	51827
116	6852	51714
117	6916	51700
118	6976	51647
119	7030	51558
120	7093	51531
121	7153	51481
122	7203	51359
123	7267	51343
124	7340	51386
125	7390	51265
126	7443	51167
127	7493	51050
128	7556	51020
